product,category
almalinux,os
alpine,os
amazon-eks,service
amazon-linux,os
android,os
angular,framework
ansible,app
ansible-core,framework
antix,os
apache,server-app
apache-airflow,framework
apache-camel,framework
apache-cassandra,db
apache-groovy,lang
api-platform,framework
azure-devops-server,server-app
azure-kubernetes-service,service
beats,server-app
blender,app
bootstrap,framework
cakephp,framework
centos,os
cfengine,app
citrix-vad,app
clamav,app
coldfusion,server-app
composer,app
confluence,server-app
consul,server-app
contao,server-app
cortex-xdr,app
cos,os
couchbase-server,db
debian,os
devuan,os
django,framework
docker-engine,app
dotnet,framework
dotnetfx,framework
drupal,server-app
drush,app
elasticsearch,db
electron,framework
elixir,lang
emberjs,framework
esxi,os
eurolinux,os
fedora,os
ffmpeg,framework
filemaker,app
firefox,app
fortios,os
freebsd,os
gitlab,server-app
go,lang
godot,app
google-kubernetes-engine,service
gorilla,framework
graalvm,lang
gradle,app
grafana,server-app
grails,framework
haproxy,server-app
hashicorp-vault,server-app
hbase,server-app
horizon,app
intel-processors,device
internet-explorer,app
ionic,framework
ios,os
ipad,device
ipados,os
iphone,device
java,lang
jenkins,server-app
jhipster,app
jira-software,server-app
joomla,server-app
jquery,framework
jreleaser,app
kde-plasma,os
keycloak,server-app
kibana,server-app
kindle,device
kotlin,lang
kubernetes,server-app
laravel,framework
libreoffice,app
lineageos,os
linux,os
linuxmint,os
log4j,framework
logstash,server-app
looker,server-app
macos,os
mageia,os
magento,server-app
mariadb,db
mattermost,server-app
maven,app
mediawiki,server-app
micronaut,framework
mongodb,db
moodle,server-app
msexchange,server-app
mssqlserver,db
mulesoft-runtime,server-app
mxlinux,os
mysql,db
neo4j,db
netbsd,os
nextcloud,server-app
nexus,server-app
nginx,server-app
nix,app
nixos,os
nodejs,framework
nokia,device
nomad,server-app
numpy,framework
nutanix-aos,os
nutanix-files,server-app
nutanix-prism,server-app
nvidia,app
nvidia-gpu,device
office,app
openbsd,os
opensearch,db
openssl,framework
opensuse,os
openwrt,os
openzfs,app
oraclelinux,os
pangp,app
panos,os
pci-dss,standard
perl,lang
photon,os
php,lang
phpmyadmin,server-app
pixel,device
pop_os,os
postfix,server-app
postgresql,db
powershell,lang
proxmox-ve,os
python,lang
qt,framework
quarkus-framework,framework
rabbitmq,server-app
rails,framework
raspberry-pi,device
react,framework
readynas,device
redhat-satellite,
redis,db
redmine,server-app
rhel,os
rocky-linux,os
ros,os
roundcube,server-app
ruby,lang
samsung-mobile,device
scala,lang
sharepoint,server-app
slackware,os
sles,os
solr,server-app
sonar,server-app
splunk,server-app
spring-boot,framework
spring-framework,framework
surface,device
symfony,framework
tails,os
tarantool,db
telegraf,server-app
terraform,app
tomcat,server-app
twig,framework
typo3,server-app
ubuntu,os
unity,app
unrealircd,server-app
varnish,server-app
vcenter,app
visual-cobol,lang
visual-studio,app
vmware-srm,server-app
vue,framework
wagtail,framework
watchos,os
windows,os
windows-server,os
windowsembedded,os
wordpress,server-app
yocto,os
zabbix,server-app
zookeeper,server-app
